# campaign: devchar-cp (full output I-V curves)
# record_id: 20260731-041340-833292f
# generated_utc: 2026-07-31T04:13:42Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: sim/devchar-cp/testbench/tb_cp_mirror.sp
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points, 6 stacks each
# Complete output characteristic of every stack at every corner, decimated from
# the 10 mV simulation grid to 50 mV. ro is a central difference on the raw
# 10 mV grid, so the knee is resolved at full simulation resolution.
stack,process,temp_c,vdd_v,vout_v,iout_a,ro_ohm
n_casc,ff,-40,2.97,0.0000,2.00746e-255,5783.99
n_casc,ff,-40,2.97,0.0500,8.00077e-06,7226.81
n_casc,ff,-40,2.97,0.1000,1.3809e-05,10677.6
n_casc,ff,-40,2.97,0.1500,1.7357e-05,20519.7
n_casc,ff,-40,2.97,0.2000,1.8865e-05,63831.4
n_casc,ff,-40,2.97,0.2500,1.93061e-05,207074
n_casc,ff,-40,2.97,0.3000,1.94714e-05,424652
n_casc,ff,-40,2.97,0.3500,1.9566e-05,639439
n_casc,ff,-40,2.97,0.4000,1.96344e-05,825518
n_casc,ff,-40,2.97,0.4500,1.96896e-05,983642
n_casc,ff,-40,2.97,0.5000,1.97371e-05,1.12052e+06
n_casc,ff,-40,2.97,0.5500,1.97794e-05,1.24345e+06
n_casc,ff,-40,2.97,0.6000,1.98179e-05,1.36004e+06
n_casc,ff,-40,2.97,0.6500,1.98531e-05,1.47943e+06
n_casc,ff,-40,2.97,0.7000,1.98855e-05,1.61521e+06
n_casc,ff,-40,2.97,0.7500,1.9915e-05,1.79142e+06
n_casc,ff,-40,2.97,0.8000,1.99411e-05,2.05734e+06
n_casc,ff,-40,2.97,0.8500,1.99633e-05,2.52835e+06
n_casc,ff,-40,2.97,0.9000,1.99803e-05,3.53238e+06
n_casc,ff,-40,2.97,0.9500,1.99913e-05,6.38081e+06
n_casc,ff,-40,2.97,1.0000,1.99963e-05,1.86532e+07
n_casc,ff,-40,2.97,1.0500,1.99978e-05,6.53808e+07
n_casc,ff,-40,2.97,1.1000,1.99983e-05,1.47384e+08
n_casc,ff,-40,2.97,1.1500,1.99986e-05,2.33918e+08
n_casc,ff,-40,2.97,1.2000,1.99988e-05,3.11042e+08
n_casc,ff,-40,2.97,1.2500,1.99989e-05,3.76648e+08
n_casc,ff,-40,2.97,1.3000,1.9999e-05,4.31965e+08
n_casc,ff,-40,2.97,1.3500,1.99991e-05,4.79616e+08
n_casc,ff,-40,2.97,1.4000,1.99992e-05,5.19481e+08
n_casc,ff,-40,2.97,1.4500,1.99993e-05,5.55556e+08
n_casc,ff,-40,2.97,1.5000,1.99994e-05,5.88235e+08
n_casc,ff,-40,2.97,1.5500,1.99995e-05,6.13497e+08
n_casc,ff,-40,2.97,1.6000,1.99996e-05,6.38978e+08
n_casc,ff,-40,2.97,1.6500,1.99997e-05,6.62252e+08
n_casc,ff,-40,2.97,1.7000,1.99997e-05,6.82594e+08
n_casc,ff,-40,2.97,1.7500,1.99998e-05,6.99301e+08
n_casc,ff,-40,2.97,1.8000,1.99999e-05,7.14286e+08
n_casc,ff,-40,2.97,1.8500,2e-05,7.29927e+08
n_casc,ff,-40,2.97,1.9000,2e-05,7.43494e+08
n_casc,ff,-40,2.97,1.9500,2.00001e-05,7.57576e+08
n_casc,ff,-40,2.97,2.0000,2.00002e-05,7.69231e+08
n_casc,ff,-40,2.97,2.0500,2.00002e-05,7.7821e+08
n_casc,ff,-40,2.97,2.1000,2.00003e-05,7.87402e+08
n_casc,ff,-40,2.97,2.1500,2.00003e-05,7.90514e+08
n_casc,ff,-40,2.97,2.2000,2.00004e-05,7.84314e+08
n_casc,ff,-40,2.97,2.2500,2.00005e-05,7.72201e+08
n_casc,ff,-40,2.97,2.3000,2.00005e-05,7.40741e+08
n_casc,ff,-40,2.97,2.3500,2.00006e-05,6.92042e+08
n_casc,ff,-40,2.97,2.4000,2.00007e-05,6.25e+08
n_casc,ff,-40,2.97,2.4500,2.00008e-05,5.39084e+08
n_casc,ff,-40,2.97,2.5000,2.00009e-05,4.47427e+08
n_casc,ff,-40,2.97,2.5500,2.0001e-05,3.59712e+08
n_casc,ff,-40,2.97,2.6000,2.00012e-05,2.80899e+08
n_casc,ff,-40,2.97,2.6500,2.00014e-05,2.16216e+08
n_casc,ff,-40,2.97,2.7000,2.00016e-05,1.64745e+08
n_casc,ff,-40,2.97,2.7500,2.0002e-05,1.25392e+08
n_casc,ff,-40,2.97,2.8000,2.00024e-05,9.57854e+07
