
Note: Compatibility modes selected: hs a


Circuit: * divider-ratio-cell @ ss_125c_3.63v_f200 -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                       3.63
hi                                        3.63
lo                                           0
ck50                                         0
ck33                                         0
ck67                                         0
cke                                          0
ckf                                          0
xa.sb                                     3.63
moa                                    1.79269
xa.xn3.nm1                             3.10427
xa.xn3.nm2                         7.50396e-08
xa.dqn                                0.555651
xa.qb                                  1.79269
xa.xn2q.nmid                          0.147307
xa.dq                                  3.62731
xa.xfq.ckb                                3.63
xa.xfq.ckbb                        1.35003e-08
xa.xfq.nm                              3.62731
xa.xfq.nma                         3.90763e-08
xa.xfq.nmb                                3.63
xa.xfq.ns                              1.79269
xa.q                                   1.79269
ckoa                                   1.82013
xa.nmo                                 0.48039
xa.xn2m.nmid                          0.318323
xa.dmo                                 3.62919
xa.xfmo.ckb                               3.63
xa.xfmo.ckbb                       1.35003e-08
xa.xfmo.nm                             3.62919
xa.xfmo.nma                        3.88795e-08
xa.xfmo.nmb                               3.63
xa.xfmo.ns                             1.79269
xa.mob                                 1.79269
xb.sb                              4.03436e-08
mob                                       3.63
xb.xn3.nm1                         2.68957e-08
xb.xn3.nm2                         1.34479e-08
xb.dqn                                    3.63
xb.qb                                  1.79269
xb.xn2q.nmid                           1.51848
xb.dq                              3.83818e-08
xb.xfq.ckb                                3.63
xb.xfq.ckbb                        1.35003e-08
xb.xfq.nm                          5.51565e-08
xb.xfq.nma                                3.63
xb.xfq.nmb                         2.21685e-08
xb.xfq.ns                              1.79269
xb.q                                   1.79269
ckob                                   1.82013
xb.nmo                                 0.48039
xb.xn2m.nmid                          0.318323
xb.dmo                                 3.62919
xb.xfmo.ckb                               3.63
xb.xfmo.ckbb                       1.35003e-08
xb.xfmo.nm                             3.62919
xb.xfmo.nma                        2.22494e-08
xb.xfmo.nmb                               3.63
xb.xfmo.ns                         5.51565e-08
xb.mob                             3.83818e-08
xc.sb                                     3.63
moc                                    1.79269
xc.xn3.nm1                             3.10427
xc.xn3.nm2                         7.50396e-08
xc.dqn                                0.555651
xc.qb                                  1.79269
xc.xn2q.nmid                          0.147307
xc.dq                                  3.62731
xc.xfq.ckb                                3.63
xc.xfq.ckbb                        1.35003e-08
xc.xfq.nm                              3.62731
xc.xfq.nma                         3.90763e-08
xc.xfq.nmb                                3.63
xc.xfq.ns                              1.79269
xc.q                                   1.79269
ckoc                                   1.82013
xc.nmo                                 0.48039
xc.xn2m.nmid                          0.318323
xc.dmo                                 3.62919
xc.xfmo.ckb                               3.63
xc.xfmo.ckbb                       1.35003e-08
xc.xfmo.nm                             3.62919
xc.xfmo.nma                        3.88795e-08
xc.xfmo.nmb                               3.63
xc.xfmo.ns                             1.79269
xc.mob                                 1.79269
xd.sb                              4.03436e-08
mdd                                       3.63
xd.xn3.nm1                         2.68957e-08
xd.xn3.nm2                         1.34479e-08
xd.dqn                                    3.63
xd.qb                                  1.79269
xd.xn2q.nmid                           1.51848
xd.dq                              3.83818e-08
xd.xfq.ckb                                3.63
xd.xfq.ckbb                        1.35003e-08
xd.xfq.nm                          5.51565e-08
xd.xfq.nma                                3.63
xd.xfq.nmb                         2.21685e-08
xd.xfq.ns                              1.79269
xd.q                                   1.79269
ckod                                   1.82013
xd.nmo                                 0.48039
xd.xn2m.nmid                          0.318323
xd.dmo                                 3.62919
xd.xfmo.ckb                               3.63
xd.xfmo.ckbb                       1.35003e-08
xd.xfmo.nm                             3.62919
xd.xfmo.nma                        2.22494e-08
xd.xfmo.nmb                               3.63
xd.xfmo.ns                         5.51565e-08
xd.mob                             3.83818e-08
xe.sb                              4.03436e-08
moe                                       3.63
xe.xn3.nm1                         2.68957e-08
xe.xn3.nm2                         1.34479e-08
xe.dqn                                    3.63
xe.qb                                  1.79269
xe.xn2q.nmid                           1.51848
xe.dq                              3.83818e-08
xe.xfq.ckb                                3.63
xe.xfq.ckbb                        1.35003e-08
xe.xfq.nm                          5.51565e-08
xe.xfq.nma                                3.63
xe.xfq.nmb                         2.21685e-08
xe.xfq.ns                              1.79269
xe.q                                   1.79269
ckoe                                   1.82013
xe.nmo                                 0.48039
xe.xn2m.nmid                          0.318323
xe.dmo                                 3.62919
xe.xfmo.ckb                               3.63
xe.xfmo.ckbb                       1.35003e-08
xe.xfmo.nm                             3.62919
xe.xfmo.nma                        2.22494e-08
xe.xfmo.nmb                               3.63
xe.xfmo.ns                         5.51565e-08
xe.mob                             3.83818e-08
xf.sb                              4.03436e-08
mof                                       3.63
xf.xn3.nm1                         2.68957e-08
xf.xn3.nm2                         1.34479e-08
xf.dqn                                    3.63
xf.qb                                  1.79269
xf.xn2q.nmid                           1.51848
xf.dq                              3.83818e-08
xf.xfq.ckb                                3.63
xf.xfq.ckbb                        1.35003e-08
xf.xfq.nm                          5.51565e-08
xf.xfq.nma                                3.63
xf.xfq.nmb                         2.21685e-08
xf.xfq.ns                              1.79269
xf.q                                   1.79269
ckof                                   1.82013
xf.nmo                                 0.48039
xf.xn2m.nmid                          0.318323
xf.dmo                                 3.62919
xf.xfmo.ckb                               3.63
xf.xfmo.ckbb                       1.35003e-08
xf.xfmo.nm                             3.62919
xf.xfmo.nma                        2.22494e-08
xf.xfmo.nmb                               3.63
xf.xfmo.ns                         5.51565e-08
xf.mob                             3.83818e-08
vckf#branch                                  0
vcke#branch                                  0
vck67#branch                                 0
vck33#branch                                 0
vck50#branch                                 0
vlo#branch                                   0
vhi#branch                                   0
vdd#branch                         -0.00449186

 Reference value :  0.00000e+00
 Reference value :  1.64560e-09
 Reference value :  3.00560e-09
 Reference value :  4.68560e-09
 Reference value :  5.76800e-09
 Reference value :  6.85567e-09
 Reference value :  7.99000e-09
 Reference value :  8.95000e-09
 Reference value :  1.01880e-08
 Reference value :  1.14100e-08
 Reference value :  1.25020e-08
 Reference value :  1.34469e-08
 Reference value :  1.46100e-08
 Reference value :  1.56880e-08
 Reference value :  1.67725e-08
 Reference value :  1.78700e-08
 Reference value :  1.88500e-08
 Reference value :  2.01019e-08
 Reference value :  2.13060e-08
 Reference value :  2.23357e-08
 Reference value :  2.34000e-08
 Reference value :  2.44500e-08
 Reference value :  2.56080e-08
 Reference value :  2.67667e-08
 Reference value :  2.78300e-08
 Reference value :  2.88300e-08
 Reference value :  3.00748e-08
 Reference value :  3.13000e-08
 Reference value :  3.23357e-08
 Reference value :  3.34020e-08
 Reference value :  3.45700e-08
 Reference value :  3.56680e-08
 Reference value :  3.67725e-08
 Reference value :  3.79500e-08
 Reference value :  3.89900e-08
 Reference value :  4.02280e-08
 Reference value :  4.14700e-08
 Reference value :  4.25140e-08
 Reference value :  4.34823e-08
 Reference value :  4.47100e-08
 Reference value :  4.57880e-08
 Reference value :  4.68957e-08
 Reference value :  4.80300e-08
 Reference value :  4.90700e-08
 Reference value :  5.03880e-08
 Reference value :  5.16967e-08
 Reference value :  5.28300e-08
 Reference value :  5.39100e-08
 Reference value :  5.52080e-08
 Reference value :  5.64300e-08
 Reference value :  5.75140e-08
 Reference value :  5.85423e-08
 Reference value :  5.97700e-08
No. of Data Rows : 3586

  Measurements for Transient Analysis

ta1                 =   5.57232e-09
ta3                 =   2.55723e-08
na                  =  2.00000e+00
tb1                 =   1.05723e-08
tb3                 =   4.05723e-08
nb                  =  3.00000e+00
tc1                 =   5.57232e-09
tc3                 =   2.55723e-08
nc                  =  2.00000e+00
td1                 =   1.05723e-08
td3                 =   4.05723e-08
nd                  =  3.00000e+00
te1                 =   8.88346e-09
te3                 =   2.88835e-08
ne                  =  3.00000e+00
tf1                 =   8.04005e-09
tf3                 =   2.30403e-08
nf                  =  3.00005e+00
tcq                 =  5.22324e-10
fa3                 =   3.05241e-08
pwa                 =  4.95181e-09
fb3                 =   4.55237e-08
pwb                 =  4.95138e-09
rmb2                =   3.03954e-08
fmb2                =   2.03628e-08
pw_modout_s         =  -1.00326e-08
iavg                =  -8.76432e-04 from=  1.50000e-08 to=  6.00000e-08
i_cell_a            =  1.46072e-04

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

  Measurements for Transient Analysis

ta1                 =   5.57232e-09
ta3                 =   2.55723e-08
na                  =   failed
tb1                 =   1.05723e-08
tb3                 =   4.05723e-08
nb                  =   failed
tc1                 =   5.57232e-09
tc3                 =   2.55723e-08
nc                  =   failed
td1                 =   1.05723e-08
td3                 =   4.05723e-08
nd                  =   failed
te1                 =   8.88346e-09
te3                 =   2.88835e-08
ne                  =   failed
tf1                 =   8.04005e-09
tf3                 =   2.30403e-08
nf                  =   failed
tcq                 =   failed
fa3                 =   3.05241e-08
pwa                 =   failed
fb3                 =   4.55237e-08
pwb                 =   failed
rmb2                =   3.03954e-08
fmb2                =   2.03628e-08
pw_modout_s         =   failed
iavg                =  -8.76432e-04 from=  1.50000e-08 to=  6.00000e-08
i_cell_a            =   failed


Total analysis time (seconds) = 154.989

Total elapsed time (seconds) = 162.604 

Total DRAM available = 98304.000 MB.
DRAM currently available =   87.688 MB.
Maximum ngspice program size =   32.484 MB.
Current ngspice program size =   32.484 MB.


Warning: m=xx on .subckt line will override multiplier m hierarchy!

Error in netlist line no. 1294, new internal line no. 37:

insertnumber: fails.
  s = ".measure tran na param=    2.000000539441584e+00   " u="  2.000000539441584e+00  " id=0
Error in netlist line no. 1297, new internal line no. 40:

insertnumber: fails.
  s = ".measure tran nb param=    3.000001058079588e+00   " u="  3.000001058079588e+00  " id=0
Error in netlist line no. 1300, new internal line no. 43:

insertnumber: fails.
  s = ".measure tran nc param=    2.000001308802786e+00   " u="  2.000001308802786e+00  " id=0
Error in netlist line no. 1303, new internal line no. 46:

insertnumber: fails.
  s = ".measure tran nd param=    3.000001032234749e+00   " u="  3.000001032234749e+00  " id=0
Error in netlist line no. 1306, new internal line no. 49:

insertnumber: fails.
  s = ".measure tran ne param=    3.000004327551906e+00   " u="  3.000004327551906e+00  " id=0
Error in netlist line no. 1309, new internal line no. 52:

insertnumber: fails.
  s = ".measure tran nf param=    3.000051174881886e+00   " u="  3.000051174881886e+00  " id=0
Error in netlist line no. 1310, new internal line no. 53:

insertnumber: fails.
  s = ".measure tran tcq param=    5.223242494776417e-10   " u="  5.223242494776417e-10  " id=0
Error in netlist line no. 1312, new internal line no. 55:

insertnumber: fails.
  s = ".measure tran pwa param=    4.951808419366166e-09   " u="  4.951808419366166e-09  " id=0
Error in netlist line no. 1314, new internal line no. 57:

insertnumber: fails.
  s = ".measure tran pwb param=    4.951383881823828e-09   " u="  4.951383881823828e-09  " id=0
Error in netlist line no. 1317, new internal line no. 60:

insertnumber: fails.
  s = ".measure tran pw_modout_s param=   -1.003258491295452e-08   " u=" -1.003258491295452e-08  " id=0
Error in netlist line no. 1319, new internal line no. 62:

insertnumber: fails.
  s = ".measure tran i_cell_a param=    1.460719515146035e-04   " u="  1.460719515146035e-04  " id=0
