
Note: Compatibility modes selected: hs a


Circuit: * divider-ratio-chain @ typical_27c_3.30v_f200n33 -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd_div                                    3.3
vco                                          0
sel0                                         0
sel1                                         0
sel2                                         0
sel3                                         0
sel4                                       3.3
sel5                                         0
pb0                                        3.3
pb1                                          0
pb2                                          0
pb3                                          0
pb4                                          0
pb5                                          0
xchain.xd0.sb                              3.3
xchain.mi0                                 3.3
xchain.mo0                         5.48835e-09
xchain.xd0.xn3.nm1                     2.78116
xchain.xd0.xn3.nm2                     2.75547
xchain.xd0.dqn                     1.09665e-08
xchain.xd0.qb                              3.3
xchain.xd0.xn2q.nmid               5.48326e-09
xchain.xd0.dq                              3.3
xchain.xd0.xfq.ckb                         3.3
xchain.xd0.xfq.ckbb                5.48835e-09
xchain.xd0.xfq.nm                          3.3
xchain.xd0.xfq.nma                 1.19429e-08
xchain.xd0.xfq.nmb                         3.3
xchain.xd0.xfq.ns                          3.3
xchain.xd0.q                       5.48835e-09
xchain.ck1                         2.87605e-09
xchain.xd0.nmo                             3.3
xchain.xd0.xn2m.nmid                    2.7862
xchain.xd0.dmo                     2.13859e-08
xchain.xd0.xfmo.ckb                        3.3
xchain.xd0.xfmo.ckbb               5.48835e-09
xchain.xd0.xfmo.nm                 3.20629e-08
xchain.xd0.xfmo.nma                        3.3
xchain.xd0.xfmo.nmb                1.09449e-08
xchain.xd0.xfmo.ns                         3.3
xchain.xd0.mob                             3.3
xchain.xd1.sb                              3.3
xchain.mi1                                 3.3
xchain.mo1                                 3.3
xchain.xd1.xn3.nm1                     2.79686
xchain.xd1.xn3.nm2                 7.93611e-10
xchain.xd1.dqn                     1.09665e-08
xchain.xd1.qb                              3.3
xchain.xd1.xn2q.nmid               5.48326e-09
xchain.xd1.dq                              3.3
xchain.xd1.xfq.ckb                         3.3
xchain.xd1.xfq.ckbb                5.48835e-09
xchain.xd1.xfq.nm                          3.3
xchain.xd1.xfq.nma                 1.19429e-08
xchain.xd1.xfq.nmb                         3.3
xchain.xd1.xfq.ns                          3.3
xchain.xd1.q                       5.48835e-09
xchain.ck2                         2.87605e-09
xchain.xd1.nmo                             3.3
xchain.xd1.xn2m.nmid                    2.7862
xchain.xd1.dmo                     2.13859e-08
xchain.xd1.xfmo.ckb                        3.3
xchain.xd1.xfmo.ckbb               5.48835e-09
xchain.xd1.xfmo.nm                 3.20629e-08
xchain.xd1.xfmo.nma                        3.3
xchain.xd1.xfmo.nmb                1.09449e-08
xchain.xd1.xfmo.ns                 3.40589e-08
xchain.xd1.mob                     2.23839e-08
xchain.xd2.sb                              3.3
xchain.mi2                         5.48835e-09
xchain.mo2                                 3.3
xchain.xd2.xn3.nm1                   0.0621122
xchain.xd2.xn3.nm2                 5.89717e-11
xchain.xd2.dqn                             3.3
xchain.xd2.qb                      2.23839e-08
xchain.xd2.xn2q.nmid               1.08738e-09
xchain.xd2.dq                      2.13859e-08
xchain.xd2.xfq.ckb                         3.3
xchain.xd2.xfq.ckbb                5.48835e-09
xchain.xd2.xfq.nm                  3.20629e-08
xchain.xd2.xfq.nma                         3.3
xchain.xd2.xfq.nmb                 1.09449e-08
xchain.xd2.xfq.ns                  3.40589e-08
xchain.xd2.q                               3.3
