
Note: No compatibility mode selected!


Circuit: * lock-detector @ typical_125c_3.63v_e4.0n -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                       3.63
upa                                          0
dna                                          0
xa.xerr.n1                                3.63
xa.xerr.xg1.nmid                     0.0921471
xa.xerr.n2                                3.63
xa.xerr.xg2.nmid                   4.62945e-07
xa.xerr.n3                                3.63
xa.xerr.xg3.nmid                   4.62945e-07
xa.err                             1.15488e-07
xa.xerr.xg4.nmid                   5.77438e-08
xa.xdly.d1                                3.63
xa.xdly.d2                         5.73944e-08
xa.xdly.d3                                3.63
xa.errd                            5.73944e-08
xa.wideb                                  3.63
xa.xnw.nmid                          0.0921471
xa.wide                            5.73939e-08
vwina                                        0
xa.xsch.p1                                3.63
xa.lockb                                  3.63
xa.xsch.n1                             3.12079
locka                              5.73939e-08
upb                                          0
dnb                                          0
xb.xerr.n1                                3.63
xb.xerr.xg1.nmid                     0.0921471
xb.xerr.n2                                3.63
xb.xerr.xg2.nmid                   4.62945e-07
xb.xerr.n3                                3.63
xb.xerr.xg3.nmid                   4.62945e-07
xb.err                             1.15488e-07
xb.xerr.xg4.nmid                   5.77438e-08
xb.xdly.d1                                3.63
xb.xdly.d2                         5.73944e-08
xb.xdly.d3                                3.63
xb.errd                            5.73944e-08
xb.wideb                                  3.63
xb.xnw.nmid                          0.0921471
xb.wide                            5.73939e-08
vwinb                                        0
xb.xsch.p1                                3.63
xb.lockb                                  3.63
xb.xsch.n1                             3.12079
lockb                              5.73939e-08
upc                                          0
dnc                                          0
xc.xerr.n1                                3.63
xc.xerr.xg1.nmid                     0.0921471
xc.xerr.n2                                3.63
xc.xerr.xg2.nmid                   4.62945e-07
xc.xerr.n3                                3.63
xc.xerr.xg3.nmid                   4.62945e-07
xc.err                             1.15488e-07
xc.xerr.xg4.nmid                   5.77438e-08
xc.xdly.d1                                3.63
xc.xdly.d2                         5.73944e-08
xc.xdly.d3                                3.63
xc.errd                            5.73944e-08
xc.wideb                                  3.63
xc.xnw.nmid                          0.0921471
xc.wide                            5.73939e-08
vwinc                                        0
xc.xsch.p1                                3.63
xc.lockb                                  3.63
xc.xsch.n1                             3.12079
lockc                              5.73939e-08
upd                                          0
dnd                                          0
xd.xerr.n1                                3.63
xd.xerr.xg1.nmid                     0.0921471
xd.xerr.n2                                3.63
xd.xerr.xg2.nmid                   4.62945e-07
xd.xerr.n3                                3.63
xd.xerr.xg3.nmid                   4.62945e-07
xd.err                             1.15488e-07
xd.xerr.xg4.nmid                   5.77438e-08
xd.xdly.d1                                3.63
xd.xdly.d2                         5.73944e-08
xd.xdly.d3                                3.63
xd.errd                            5.73944e-08
xd.wideb                                  3.63
xd.xnw.nmid                          0.0921471
xd.wide                            5.73939e-08
vwind                                        0
xd.xsch.p1                                3.63
xd.lockb                                  3.63
xd.xsch.n1                             3.12079
lockd                              5.73939e-08
upe1                                         0
upe2                                         0
upe1n                                     3.63
upe2n                                     3.63
upe                                1.15486e-07
xoe3.nmid                          5.77432e-08
dne                                          0
xe.xerr.n1                                3.63
xe.xerr.xg1.nmid                     0.0921472
xe.xerr.n2                                3.63
xe.xerr.xg2.nmid                   4.62946e-07
xe.xerr.n3                                3.63
xe.xerr.xg3.nmid                   4.62945e-07
xe.err                             1.15488e-07
xe.xerr.xg4.nmid                   5.77438e-08
xe.xdly.d1                                3.63
xe.xdly.d2                         5.73944e-08
xe.xdly.d3                                3.63
xe.errd                            5.73944e-08
xe.wideb                                  3.63
xe.xnw.nmid                          0.0921471
xe.wide                            5.73939e-08
vwine                                        0
xe.xsch.p1                                3.63
xe.lockb                                  3.63
xe.xsch.n1                             3.12079
locke                              5.73939e-08
wstep                                        0
xw.d1                                     3.63
xw.d2                              5.73944e-08
xw.d3                                     3.63
wout                               5.73944e-08
vwstep#branch                                0
vdne#branch                                  0
vupe2#branch                                 0
vupe1#branch                                 0
vdnd#branch                                  0
vupd#branch                                  0
vdnc#branch                                  0
vupc#branch                                  0
vdnb#branch                                  0
vupb#branch                                  0
vdna#branch                                  0
vupa#branch                                  0
vdd#branch                        -4.79853e-06

 Reference value :  2.16560e-08
 Reference value :  5.91262e-08
 Reference value :  9.11300e-08
 Reference value :  1.22721e-07
 Reference value :  1.60100e-07
 Reference value :  1.87574e-07
 Reference value :  2.12136e-07
 Reference value :  2.45207e-07
 Reference value :  2.81221e-07
 Reference value :  3.10149e-07
 Reference value :  3.36326e-07
 Reference value :  3.70582e-07
 Reference value :  4.01305e-07
 Reference value :  4.30374e-07
 Reference value :  4.60065e-07
 Reference value :  4.91926e-07
 Reference value :  5.24030e-07
 Reference value :  5.60065e-07
 Reference value :  5.85174e-07
 Reference value :  6.11130e-07
 Reference value :  6.44100e-07
 Reference value :  6.80030e-07
 Reference value :  7.04815e-07
 Reference value :  7.31110e-07
 Reference value :  7.65221e-07
 Reference value :  7.97478e-07
 Reference value :  8.22174e-07
 Reference value :  8.51726e-07
 Reference value :  8.86926e-07
 Reference value :  9.20010e-07
 Reference value :  9.47641e-07
 Reference value :  9.77326e-07
 Reference value :  1.00540e-06
 Reference value :  1.04015e-06
 Reference value :  1.06803e-06
 Reference value :  1.09873e-06
 Reference value :  1.12553e-06
 Reference value :  1.16172e-06
 Reference value :  1.19020e-06
 Reference value :  1.21614e-06
 Reference value :  1.24793e-06
 Reference value :  1.28140e-06
 Reference value :  1.31012e-06
 Reference value :  1.33613e-06
 Reference value :  1.37091e-06
 Reference value :  1.40252e-06
 Reference value :  1.43357e-06
 Reference value :  1.46163e-06
 Reference value :  1.49273e-06
 Reference value :  1.52420e-06
 Reference value :  1.56056e-06
 Reference value :  1.58837e-06
 Reference value :  1.61140e-06
 Reference value :  1.64474e-06
 Reference value :  1.68057e-06
 Reference value :  1.70842e-06
 Reference value :  1.73273e-06
 Reference value :  1.76973e-06
 Reference value :  1.80070e-06
 Reference value :  1.82837e-06
 Reference value :  1.85973e-06
 Reference value :  1.89116e-06
 Reference value :  1.92406e-06
 Reference value :  1.96113e-06
 Reference value :  1.99003e-06
 Reference value :  2.01454e-06
 Reference value :  2.04693e-06
 Reference value :  2.08192e-06
 Reference value :  2.11216e-06
 Reference value :  2.14012e-06
 Reference value :  2.17313e-06
 Reference value :  2.20432e-06
 Reference value :  2.23757e-06
 Reference value :  2.26623e-06
 Reference value :  2.29913e-06
 Reference value :  2.32573e-06
 Reference value :  2.36212e-06
 Reference value :  2.39148e-06
 Reference value :  2.41394e-06
 Reference value :  2.44652e-06
 Reference value :  2.48110e-06
 Reference value :  2.50662e-06
 Reference value :  2.53074e-06
 Reference value :  2.56540e-06
 Reference value :  2.59648e-06
 Reference value :  2.62001e-06
 Reference value :  2.64955e-06
 Reference value :  2.68400e-06
 Reference value :  2.71044e-06
 Reference value :  2.73453e-06
 Reference value :  2.76911e-06
 Reference value :  2.79968e-06
 Reference value :  2.82045e-06
 Reference value :  2.85000e-06
 Reference value :  2.88371e-06
 Reference value :  2.91032e-06
 Reference value :  2.93353e-06
 Reference value :  2.96913e-06
 Reference value :  3.00000e-06
 Reference value :  3.02097e-06
 Reference value :  3.05074e-06
 Reference value :  3.08525e-06
 Reference value :  3.11656e-06
 Reference value :  3.14032e-06
 Reference value :  3.17121e-06
 Reference value :  3.20332e-06
 Reference value :  3.23057e-06
 Reference value :  3.25713e-06
 Reference value :  3.29001e-06
 Reference value :  3.32085e-06
 Reference value :  3.34964e-06
 Reference value :  3.37633e-06
No. of Data Rows : 22553

  Measurements for Transient Analysis

twin_r              =  1.50370e-09 targ=  4.15537e-08 trig=  4.00500e-08
twin_f              =  1.48040e-09 targ=  2.41630e-07 trig=  2.40150e-07
tb_asrt             =   1.27323e-06
te_asrt             =   1.27323e-06
la_lvl              =  6.05852e-08 from=  3.06000e-06 to=  3.40000e-06
lb_lvl              =  3.63000e+00 from=  3.06000e-06 to=  3.40000e-06
lc_lvl              =  6.00534e-08 from=  3.06000e-06 to=  3.40000e-06
ld_lvl              =  5.76802e-08 from=  3.06000e-06 to=  3.40000e-06
le_lvl              =  5.46947e-08 from=  3.06000e-06 to=  3.40000e-06
va_lvl              =  4.20675e-02 from=  3.06000e-06 to=  3.40000e-06
te_deas             =   2.40504e-06
le_pre              =  3.63000e+00 from=  2.16000e-06 to=  2.40001e-06
iavg                =  -1.91292e-04 from=  1.70000e-06 to=  3.40000e-06

ngspice-46 done


Error: measure  ta_asrt  when(WHEN) : out of interval
 .measure tran ta_asrt when v(locka)=    1.815000000000000e+00     rise=1 failed!


Error: measure  tc_asrt  when(WHEN) : out of interval
 .measure tran tc_asrt when v(lockc)=    1.815000000000000e+00     rise=1 failed!


Error: measure  td_asrt  when(WHEN) : out of interval
 .measure tran td_asrt when v(lockd)=    1.815000000000000e+00     rise=1 failed!

