
Note: Compatibility modes selected: hs a


Circuit: * lock-window-proxy @ vco_fs_-40c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vddvco                                    3.63
bhi                                       3.63
vca                                        1.8
vcb                                        2.7
xva.xbias.na                          0.852861
xva.xbias.vbpc                         2.55282
xva.xbias.nc                         0.0945667
xva.xbias.xrcg.11                     0.094361
xva.xbias.xrcg.21                  0.000205727
xva.xbias.nsu                        0.0179905
xva.xbias.vfix                         1.66072
xva.xbias.nmd                         0.717067
xva.xbias.vbp0                         2.60593
xva.xbias.noff                        0.723628
xva.xbias.xroff.11                    0.723353
xva.xbias.xroff.21                 0.000275473
xva.xbias.nvi                         0.827227
xva.xbias.xrdeg.11                    0.826912
xva.xbias.xrdeg.21                 0.000314911
xva.xbias.b0b                             3.63
xva.xbias.b1b                             3.63
xva.xbias.b2b                        4.682e-09
xva.xbias.vbn1                        0.709402
xva.xbias.ga                              3.63
xva.xbias.vbp2                         2.62495
xva.xbias.gb                       6.69988e-14
xva.vbn                               0.799408
xva.xbias.gc                           2.62495
xva.vbp                                 2.5066
xva.xs1.nh                             1.50319
xva.y1                                       0
xva.y5                                       0
xva.xs1.nt                                   0
xva.xs2.nh                                3.63
xva.y2                                    3.63
xva.xs2.nt                         2.43609e-10
xva.xs3.nh                                3.63
xva.y3                                       0
xva.xs3.nt                                   0
xva.xs4.nh                                3.63
xva.y4                                    3.63
xva.xs4.nt                         2.43609e-10
xva.xs5.nh                                3.63
xva.xs5.nt                                   0
xva.nb1                                   3.63
xva.nb2                            3.33598e-09
clka                                      3.63
xva.xcdec1.c_moscap_int1                 -3.63
xva.xcdec2.c_moscap_int1                 -3.63
xvb.xbias.na                          0.852861
xvb.xbias.vbpc                         2.55282
xvb.xbias.nc                         0.0945667
xvb.xbias.xrcg.11                     0.094361
xvb.xbias.xrcg.21                  0.000205727
xvb.xbias.nsu                        0.0179905
xvb.xbias.vfix                         1.66072
xvb.xbias.nmd                         0.717067
xvb.xbias.vbp0                         2.58124
xvb.xbias.noff                        0.723586
xvb.xbias.xroff.11                     0.72331
xvb.xbias.xroff.21                 0.000275457
xvb.xbias.nvi                          1.52075
xvb.xbias.xrdeg.11                     1.52017
xvb.xbias.xrdeg.21                 0.000578925
xvb.xbias.b0b                        4.682e-09
xvb.xbias.b1b                        4.682e-09
xvb.xbias.b2b                        4.682e-09
xvb.xbias.vbn1                        0.762241
xvb.xbias.ga                           2.58124
xvb.xbias.vbp2                         2.47256
xvb.xbias.gb                          0.762241
xvb.vbn                                1.02694
xvb.xbias.gc                           2.47256
xvb.vbp                                2.20798
xvb.xs1.nh                             1.77541
xvb.y1                                       0
xvb.y5                                       0
xvb.xs1.nt                                   0
xvb.xs2.nh                                3.63
xvb.y2                                    3.63
xvb.xs2.nt                          8.2305e-11
xvb.xs3.nh                                3.63
xvb.y3                                       0
xvb.xs3.nt                                   0
xvb.xs4.nh                                3.63
xvb.y4                                    3.63
xvb.xs4.nt                          8.2305e-11
xvb.xs5.nh                                3.63
xvb.xs5.nt                                   0
xvb.nb1                                   3.63
xvb.nb2                            3.33598e-09
clkb                                      3.63
xvb.xcdec1.c_moscap_int1                 -3.63
xvb.xcdec2.c_moscap_int1                 -3.63
xdp.xd0.sb                                3.63
xdp.mi0                                   3.63
xdp.mo0                            4.76684e-09
xdp.xd0.xn3.nm1                        3.05977
xdp.xd0.xn3.nm2                      0.0120865
xdp.xd0.dqn                        9.56718e-09
xdp.xd0.qb                                3.63
xdp.xd0.xn2q.nmid                  4.78359e-09
xdp.xd0.dq                                3.63
xdp.xd0.xfq.ckb                    4.76684e-09
xdp.xd0.xfq.ckbb                          3.63
xdp.xd0.xfq.nm                     2.74061e-08
xdp.xd0.xfq.nma                           3.63
xdp.xd0.xfq.nmb                    1.82624e-08
xdp.xd0.xfq.ns                            3.63
xdp.xd0.q                          4.76684e-09
xdp.ck1                            2.60465e-09
xdp.xd0.nmo                               3.63
xdp.xd0.xn2m.nmid                      3.04963
xdp.xd0.dmo                        9.53369e-09
xdp.xd0.xfmo.ckb                   4.76684e-09
xdp.xd0.xfmo.ckbb                         3.63
xdp.xd0.xfmo.nm                    2.73558e-08
xdp.xd0.xfmo.nma                          3.63
xdp.xd0.xfmo.nmb                   1.82372e-08
xdp.xd0.xfmo.ns                           3.63
xdp.xd0.mob                               3.63
xdp.xd1.sb                                3.63
xdp.mi1                                   3.63
xdp.mo1                                   3.63
xdp.xd1.xn3.nm1                        3.05971
xdp.xd1.xn3.nm2                    1.72499e-11
xdp.xd1.dqn                               3.63
xdp.xd1.qb                         1.82624e-08
xdp.xd1.xn2q.nmid                  2.87589e-11
xdp.xd1.dq                         1.82372e-08
xdp.xd1.xfq.ckb                           3.63
xdp.xd1.xfq.ckbb                   4.76684e-09
xdp.xd1.xfq.nm                     2.73558e-08
xdp.xd1.xfq.nma                           3.63
xdp.xd1.xfq.nmb                    9.53369e-09
xdp.xd1.xfq.ns                     2.74061e-08
xdp.xd1.q                                 3.63
xdp.ck2                                   3.63
xdp.xd1.nmo                        9.56718e-09
xdp.xd1.xn2m.nmid                  4.78359e-09
xdp.xd1.dmo                               3.63
xdp.xd1.xfmo.ckb                          3.63
xdp.xd1.xfmo.ckbb                  4.76684e-09
xdp.xd1.xfmo.nm                           3.63
xdp.xd1.xfmo.nma                   9.53369e-09
xdp.xd1.xfmo.nmb                          3.63
xdp.xd1.xfmo.ns                    2.73558e-08
xdp.xd1.mob                        1.82372e-08
xdp.xd2.sb                                3.63
xdp.mi2                                   3.63
xdp.mo2                                   3.63
xdp.xd2.xn3.nm1                        3.05971
xdp.xd2.xn3.nm2                    1.72498e-11
xdp.xd2.dqn                               3.63
xdp.xd2.qb                         9.53369e-09
xdp.xd2.xn2q.nmid                  2.87587e-11
xdp.xd2.dq                         9.55882e-09
xdp.xd2.xfq.ckb                    4.76684e-09
xdp.xd2.xfq.ckbb                          3.63
