
Note: No compatibility mode selected!


Circuit: * lock-window-trim @ fs_125c_3.63v_c1 -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                       3.63
t0                                        3.63
t1                                           0
t2                                           0
t3                                           0
step                                         0
xdly.t0b                           1.48566e-08
xdly.t1b                                  3.63
xdly.t2b                                  3.63
xdly.t3b                                  3.63
xdly.d1                                3.62999
xdly.s10                               3.62999
xdly.s11                           4.89002e-06
xdly.s12                           3.66231e-06
xdly.s13                           3.74066e-06
xdly.d2                            4.90329e-08
xdly.s20                           7.18233e-08
xdly.s21                           2.24389e-08
xdly.s22                           1.22152e-08
xdly.s23                           6.38042e-09
xdly.d3                                3.62999
xdly.s30                               3.62999
xdly.s31                           4.89002e-06
xdly.s32                           3.66231e-06
xdly.s33                           3.74066e-06
wout                               4.90329e-08
xdly.s40                           7.18233e-08
xdly.s41                           2.24389e-08
xdly.s42                           1.22152e-08
xdly.s43                           6.38042e-09
vstep#branch                                 0
vt3#branch                                   0
vt2#branch                                   0
vt1#branch                                   0
vt0#branch                                   0
vdd#branch                        -1.60733e-08

 Reference value :  2.61750e-09
 Reference value :  6.86750e-09
 Reference value :  1.10175e-08
 Reference value :  1.51275e-08
 Reference value :  1.95125e-08
 Reference value :  2.40825e-08
 Reference value :  2.87025e-08
 Reference value :  3.32025e-08
 Reference value :  3.75875e-08
No. of Data Rows : 8020

  Measurements for Transient Analysis

twin_r              =  1.20891e-09 targ=  3.25891e-09 trig=  2.05000e-09
twin_f              =  1.18414e-09 targ=  2.33341e-08 trig=  2.21500e-08

ngspice-46 done

