
Note: No compatibility mode selected!


Circuit: * lock-window-trim @ mimcap_ff_27c_3.63v_c3 -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                       3.63
t0                                        3.63
t1                                        3.63
t2                                           0
t3                                           0
step                                         0
xdly.t0b                           6.21319e-09
xdly.t1b                           6.21319e-09
xdly.t2b                                  3.63
xdly.t3b                                  3.63
xdly.d1                                   3.63
xdly.s10                                  3.63
xdly.s11                                  3.63
xdly.s12                           1.17987e-08
xdly.s13                           7.09948e-09
xdly.d2                            3.98512e-08
xdly.s20                           5.89147e-08
xdly.s21                           5.14615e-08
xdly.s22                           9.82691e-09
xdly.s23                           5.10057e-09
xdly.d3                                   3.63
xdly.s30                                  3.63
xdly.s31                                  3.63
xdly.s32                           1.17987e-08
xdly.s33                           7.09948e-09
wout                               3.98512e-08
xdly.s40                           5.89147e-08
xdly.s41                           5.14615e-08
xdly.s42                           9.82691e-09
xdly.s43                           5.10057e-09
vstep#branch                                 0
vt3#branch                                   0
vt2#branch                                   0
vt1#branch                                   0
vt0#branch                                   0
vdd#branch                        -1.72965e-10

 Reference value :  2.35750e-09
 Reference value :  6.74250e-09
 Reference value :  1.11325e-08
 Reference value :  1.54725e-08
 Reference value :  1.98925e-08
 Reference value :  2.41275e-08
 Reference value :  2.78475e-08
 Reference value :  3.17475e-08
 Reference value :  3.60475e-08
No. of Data Rows : 8020

  Measurements for Transient Analysis

twin_r              =  1.10877e-09 targ=  3.15877e-09 trig=  2.05000e-09
twin_f              =  1.09332e-09 targ=  2.32433e-08 trig=  2.21500e-08

ngspice-46 done

