
Note: Compatibility modes selected: hs a


Circuit: * pfd-deadzone @ sf_125c_3.63v_d1n -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                       3.63
vss                                          0
ref                                          0
fb                                           0
b0                                           0
b1                                        3.63
ibn                                   0.714647
icn                                    0.84197
ibp                                     2.9712
icp                                    2.83092
xdut.xpfd.xed_ref.d1                      3.63
xdut.xpfd.xed_ref.d2               2.75097e-07
xdut.xpfd.xed_ref.d3                      3.63
xdut.xpfd.xed_ref.d4               2.75097e-07
xdut.xpfd.xed_ref.d5                      3.63
xdut.xpfd.xed_ref.nn                      3.63
xdut.xpfd.xed_ref.xnd.ni           4.29078e-08
xdut.xpfd.pr                       2.75097e-07
xdut.xpfd.xed_fb.d1                       3.63
xdut.xpfd.xed_fb.d2                2.75097e-07
xdut.xpfd.xed_fb.d3                       3.63
xdut.xpfd.xed_fb.d4                2.75097e-07
xdut.xpfd.xed_fb.d5                       3.63
xdut.xpfd.xed_fb.nn                       3.63
xdut.xpfd.xed_fb.xnd.ni            4.29078e-08
xdut.xpfd.pf                       2.75097e-07
xdut.xpfd.sbr                             3.63
xdut.xpfd.sbf                             3.63
up                                 5.80032e-07
xdut.xpfd.upb                             3.63
xdut.xpfd.xlat_ref.xn1.ni          2.90016e-07
xdut.xpfd.rb                              3.63
xdut.xpfd.xlat_ref.xn2.ni              3.05885
dn                                 5.80032e-07
xdut.xpfd.dnb                             3.63
xdut.xpfd.xlat_fb.xn1.ni           2.90016e-07
xdut.xpfd.xlat_fb.xn2.ni               3.05885
xdut.xpfd.nrst                            3.63
xdut.xpfd.xnand_rst.ni               0.0662717
xdut.xpfd.rst_raw                  2.75096e-07
xdut.xpfd.rd1                             3.63
xdut.xpfd.rd2                      2.75097e-07
xdut.xpfd.rd3                             3.63
xdut.xpfd.rd4                      2.75097e-07
xdut.xpfd.rd5                             3.63
xdut.xpfd.rd6                      2.75097e-07
xdut.xpfd.rd7                             3.63
xdut.xpfd.rd8                      2.75097e-07
xdut.xpfd.rd9                             3.63
xdut.xpfd.rd10                     2.75097e-07
xdut.xpfd.rd11                            3.63
xdut.xpfd.rd12                     2.75097e-07
xdut.xpfd.rd13                            3.63
xdut.xpfd.rd14                     2.75097e-07
xdut.xpfd.rd15                            3.63
xdut.xpfd.rd16                     2.75097e-07
xdut.xpfd.rd17                            3.63
xdut.xpfd.rd18                     2.75097e-07
xdut.xpfd.rd19                            3.63
xdut.xpfd.rd20                     2.75097e-07
xdut.xpfd.rd21                            3.63
xdut.xpfd.rd22                     2.75097e-07
xdut.xpfd.rd23                            3.63
xdut.xpfd.rst_dly                  2.75097e-07
xdut.xcp.b0b                              3.63
xdut.xcp.b1b                       2.75096e-07
xdut.xcp.upb                              3.63
xdut.xcp.dnb                              3.63
xdut.xcp.xn_base.bg                   0.714647
xdut.xcp.xn_base.mid                  0.101138
xdut.xcp.dnt                           1.64624
xdut.xcp.xn_t0.bg                  1.00056e-08
xdut.xcp.xn_t0.mid                    0.569297
xdut.xcp.xn_t1a.bg                    0.714647
xdut.xcp.xn_t1a.mid                   0.101138
xdut.xcp.xn_t1b.bg                    0.714647
xdut.xcp.xn_t1b.mid                   0.101138
xdut.xcp.xp_base.bg                     2.9712
xdut.xcp.xp_base.mid                   3.52573
xdut.xcp.upt                           1.66493
xdut.xcp.xp_t0.bg                         3.63
xdut.xcp.xp_t0.mid                     3.05941
xdut.xcp.xp_t1a.bg                      2.9712
xdut.xcp.xp_t1a.mid                    3.52573
xdut.xcp.xp_t1b.bg                      2.9712
xdut.xcp.xp_t1b.mid                    3.52573
vout                                      1.65
xdut.xcp.vdump                         1.64998
xdut.xcp.xbuf.nsrc                    0.735853
xdut.xcp.xbuf.nda                      2.96915
xdut.xcp.xbuf.psrc                     2.25644
xdut.xcp.xbuf.pda                     0.668251
vctrl_src                                 1.65
vctrl#branch                      -1.21274e-11
vam#branch                        -1.04774e-11
vb1#branch                           -3.63e-12
vb0#branch                                   0
vfb#branch                                   0
vref#branch                                  0
vss#branch                         3.77994e-05
vdd#branch                        -5.38002e-05

 Reference value :  0.00000e+00
 Reference value :  1.46560e-09
 Reference value :  3.46560e-09
 Reference value :  4.26560e-09
 Reference value :  5.26560e-09
 Reference value :  6.78560e-09
 Reference value :  7.30560e-09
 Reference value :  7.72310e-09
 Reference value :  8.76310e-09
 Reference value :  9.18060e-09
 Reference value :  9.70060e-09
 Reference value :  1.00006e-08
 Reference value :  1.03606e-08
 Reference value :  1.11956e-08
 Reference value :  1.20756e-08
 Reference value :  1.26781e-08
 Reference value :  1.31531e-08
 Reference value :  1.38531e-08
 Reference value :  1.44331e-08
 Reference value :  1.45106e-08
 Reference value :  1.49706e-08
 Reference value :  1.57306e-08
 Reference value :  1.64106e-08
 Reference value :  1.72331e-08
 Reference value :  1.79681e-08
 Reference value :  1.82681e-08
 Reference value :  1.90831e-08
 Reference value :  1.96831e-08
 Reference value :  2.10020e-08
 Reference value :  2.31290e-08
 Reference value :  2.55047e-08
 Reference value :  2.88847e-08
 Reference value :  3.20447e-08
 Reference value :  3.48247e-08
 Reference value :  3.75247e-08
 Reference value :  4.02020e-08
 Reference value :  4.18776e-08
 Reference value :  4.48976e-08
 Reference value :  4.82976e-08
 Reference value :  5.12776e-08
 Reference value :  5.42376e-08
 Reference value :  5.72376e-08
 Reference value :  6.00900e-08
 Reference value :  6.21252e-08
 Reference value :  6.39036e-08
 Reference value :  6.63648e-08
 Reference value :  6.94648e-08
 Reference value :  7.23848e-08
 Reference value :  7.53448e-08
 Reference value :  7.85248e-08
 Reference value :  8.11776e-08
 Reference value :  8.38376e-08
 Reference value :  8.66976e-08
 Reference value :  8.97776e-08
 Reference value :  9.28976e-08
 Reference value :  9.60576e-08
 Reference value :  9.90376e-08
 Reference value :  1.01408e-07
 Reference value :  1.03340e-07
 Reference value :  1.05685e-07
 Reference value :  1.08625e-07
 Reference value :  1.11645e-07
 Reference value :  1.14365e-07
 Reference value :  1.17045e-07
 Reference value :  1.19765e-07
 Reference value :  1.21605e-07
 Reference value :  1.24138e-07
 Reference value :  1.26818e-07
 Reference value :  1.29518e-07
 Reference value :  1.32298e-07
 Reference value :  1.35018e-07
 Reference value :  1.37878e-07
No. of Data Rows : 7225

  Measurements for Transient Analysis

qnet2               =   2.50072e-15 from=  6.00000e-08 to=  1.40000e-07
qnet                =  1.25036e-15
width_up            =  2.80184e-09 targ=  1.03247e-07 trig=  1.00445e-07
width_dn            =  1.83428e-09 targ=  1.03256e-07 trig=  1.01422e-07

ngspice-46 done

Warning: m=xx on .subckt line will override multiplier m hierarchy!

Note: Starting dynamic gmin stepping
Warning: Dynamic gmin stepping failed
Note: Starting true gmin stepping
Note: True gmin stepping completed
