# campaign: supply-sensitivity (issue #511)
# question: is the committed 45-point Lock-criterion grid at the band
#   spec/pll.md's normative band-selection rule selects?
# f_out: 100 MHz (run.sh KFOUT), N = 8, f_ref = 12.5 MHz,
#   Icp code b1b0 = 10 -- the one cell any closed-loop evidence exists at
# band_campaign: run.sh derive_op_points -- lowest max|Vctrl - mid| cost over
#   its own search window 0.85-2.7 V
# band_rule_measured_window: the rule (lowest band reaching f at all three
#   supplies) over DR-003 Decision 5's measured 0.9-2.7 V window
# band_rule_predicted_window: the same rule over DR-001 Decision 2's
#   predicted 0.9-2.4 V window; blank = the rule has NO answer there
# t_sys_*_ns: sim/pfd-deadzone's MEASURED open-loop systematic term at that
#   control voltage (record 20260916-051356-8cedbba), interpolated on its 0.90/1.65/2.40 V
#   grid; 'unmeasured' = the rule parks past 2.40 V, outside the measured grid
# vctrl_run_v / phi_b_run_ns / settled / over_ratified: DR-012's graded grid (20260916-051708-8cedbba)
# NO SIMULATION WAS RUN. Every column is arithmetic on committed data.
bundle,temp_c,vdd_v,band_campaign,band_rule_measured_window,band_rule_predicted_window,selectors_agree,vctrl_campaign_v,vctrl_rule_v,t_sys_campaign_ns,t_sys_rule_ns,vctrl_run_v,phi_b_run_ns,settled,over_ratified,verdict
typical,-40,2.97,6,6,6,yes,0.985,0.985,0.8208,0.8208,0.9843,0.9525,yes,no,PASS
typical,-40,3.30,6,6,6,yes,1.247,1.247,0.8466,0.8466,1.244,0.9057,yes,no,PASS
typical,-40,3.63,6,6,6,yes,1.476,1.476,0.8354,0.8354,1.471,1.049,yes,yes,FAIL:lock
typical,27,2.97,5,5,,yes,1.800,1.800,0.1111,0.1111,1.798,0.3839,no,no,PASS
typical,27,3.30,5,5,,yes,2.168,2.168,0.2863,0.2863,2.16,1.069,no,yes,PASS
typical,27,3.63,5,5,,yes,2.499,2.499,,unmeasured,2.495,-0.9422,no,no,PASS
typical,125,2.97,5,5,5,yes,1.566,1.566,0.1543,0.1543,1.564,0.143,yes,no,PASS
typical,125,3.30,5,5,5,yes,1.883,1.883,0.3021,0.3021,1.883,1.421,no,yes,FAIL:lock
typical,125,3.63,5,5,5,yes,2.182,2.182,0.3075,0.3075,2.18,1.019,no,yes,PASS
ff,-40,2.97,6,6,6,yes,1.130,1.130,0.7435,0.7435,1.129,0.6877,yes,no,PASS
ff,-40,3.30,6,6,6,yes,1.352,1.352,0.6827,0.6827,1.35,0.8472,yes,no,PASS
ff,-40,3.63,6,6,6,yes,1.548,1.548,0.7849,0.7849,1.544,0.8072,yes,no,PASS
ff,27,2.97,6,5,6,NO,1.008,1.967,0.9121,0.3333,1.006,-0.04843,no,no,PASS
ff,27,3.30,6,5,6,NO,1.215,2.295,0.9490,0.3548,1.21,-0.01953,no,no,PASS
ff,27,3.63,6,5,6,NO,1.394,2.595,1.0546,unmeasured,1.392,1.227,yes,yes,FAIL:lock
ff,125,2.97,5,5,5,yes,1.731,1.731,0.1498,0.1498,1.731,0.81,no,no,PASS
ff,125,3.30,5,5,5,yes,2.021,2.021,0.4059,0.4059,2.021,1.057,no,yes,PASS
ff,125,3.63,5,5,5,yes,2.289,2.289,0.2902,0.2902,2.289,1.796,no,yes,FAIL:phi
ss,-40,2.97,5,5,,yes,1.795,1.795,0.0931,0.0931,1.795,0.5422,no,no,PASS
ss,-40,3.30,5,5,,yes,2.225,2.225,0.2123,0.2123,2.225,0.5844,no,no,PASS
ss,-40,3.63,5,5,,yes,2.643,2.643,,unmeasured,2.64,0.9232,no,no,PASS
ss,27,2.97,5,5,5,yes,1.601,1.601,0.0834,0.0834,1.6,0.492,no,no,PASS
ss,27,3.30,5,5,5,yes,1.988,1.988,0.2255,0.2255,1.987,0.999,no,no,PASS
ss,27,3.63,5,5,5,yes,2.358,2.358,0.1847,0.1847,2.358,1.225,no,yes,PASS
ss,125,2.97,5,5,5,yes,1.367,1.367,0.3478,0.3478,1.367,0.8269,no,no,PASS
ss,125,3.30,5,5,5,yes,1.708,1.708,0.2101,0.2101,1.708,1.416,no,yes,PASS
ss,125,3.63,5,5,5,yes,2.034,2.034,0.3341,0.3341,2.032,0.2919,yes,no,PASS
fs,-40,2.97,6,6,6,yes,0.980,0.980,0.8055,0.8055,0.9778,0.8376,yes,no,PASS
fs,-40,3.30,6,6,6,yes,1.228,1.228,0.8560,0.8560,1.224,1.102,no,yes,FAIL:lock
fs,-40,3.63,6,6,6,yes,1.450,1.450,0.8214,0.8214,1.446,1.331,no,yes,FAIL:lock
fs,27,2.97,5,5,,yes,1.759,1.759,0.1205,0.1205,1.757,0.07986,yes,no,PASS
fs,27,3.30,5,5,,yes,2.111,2.111,0.2946,0.2946,2.11,1.088,no,yes,PASS
fs,27,3.63,5,5,,yes,2.443,2.443,,unmeasured,2.44,0.322,no,no,PASS
